Unnamed: 0,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length,boundary_pct,is_anchor,is_power_hitter,is_finisher,is_experienced,role,predicted_role
613,Saif Hassan,2019-2025,26,537,21.48,117.24,50,24,2019,2025,7,64.05959031657356,False,False,False,True,Experienced Balanced Batter,Inexperienced Anchor
614,RE van der Merwe,2009-2023,88,532,12.97,117.96,46,17,2009,2023,15,53.75939849624061,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
615,Ramandeep Singh,2017-2024,60,531,23.08,168.03,32,37,2017,2024,8,65.91337099811676,True,True,True,True,Experienced Elite Batter,Experienced Elite Batter
616,UA Birla,2009-2015,29,530,24.09,107.94,45,16,2009,2015,7,52.075471698113205,True,False,False,True,Experienced Anchor,Experienced Anchor
617,RR Buddhi,2021-2024,33,529,25.19,124.47,49,17,2021,2024,4,56.33270321361059,True,False,False,False,Inexperienced Anchor,Inexperienced Anchor
618,I Udana,2009-2024,87,529,16.03,129.33,37,28,2009,2024,16,59.73534971644613,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
619,RR Dhuper,2018-2023,30,527,21.95,106.46,39,17,2018,2023,6,48.95635673624288,False,False,False,True,Experienced Balanced Batter,Inexperienced Anchor
620,S Gopal,2014-2024,104,526,16.43,120.64,52,10,2014,2024,11,50.950570342205324,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
621,AP Majumdar,2007-2021,37,526,20.23,103.95,63,3,2007,2021,15,51.33079847908745,False,False,False,True,Experienced Balanced Batter,Experienced Balanced Batter
622,T Doria,2019-2024,36,525,15.44,78.24,58,5,2019,2024,6,49.904761904761905,False,False,False,True,Experienced Balanced Batter,Inexperienced Balanced Batter
623,WCF Smeed,2022-2025,18,523,29.05,135.84,57,19,2022,2025,4,65.39196940726578,True,True,True,False,Inexperienced Elite Batter,Inexperienced Elite Batter
