Unnamed: 0,player,span,mat,wickets,econ,sr,start_year,end_year,career_length,is_wicket_taker,is_economist,is_experienced,role,predicted_role
1825,RD Hynniewta,2022-2024,6,3,8.16,24.0,2022,2024,3,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1826,AV Jaiswal,2023-2023,5,3,13.75,8.0,2023,2023,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1827,P Jayawickrama,2021-2023,4,3,6.41,24.0,2021,2023,3,False,True,False,Inexperienced Economist,Inexperienced Economist
1828,AA Jhunjhunwala,2007-2012,38,3,8.52,40.3,2007,2012,6,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1829,Joginder Singh,2009-2011,9,3,6.94,38.0,2009,2011,3,False,True,False,Inexperienced Economist,Inexperienced Economist
1830,RD John,2024-2024,7,3,12.4,34.3,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1831,MJ Johnston,2011-2012,7,3,8.33,36.0,2011,2012,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1832,JK Kamande,2007-2007,2,3,12.0,8.0,2007,2007,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1833,P Karia,2023-2023,2,3,6.12,16.0,2023,2023,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1834,V Kashyap,2023-2023,2,3,8.0,12.0,2023,2023,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1835,RP Kellepotha,2023-2024,3,3,7.5,20.0,2023,2024,2,False,True,False,Inexperienced Economist,Inexperienced Economist
1836,S Khajuria,2007-2010,5,3,7.35,34.0,2007,2010,4,False,True,False,Inexperienced Economist,Inexperienced Economist
1837,Khalid Usman,2018-2022,5,3,7.6,30.0,2018,2022,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1838,Khawar Ali,2016-2021,5,3,7.33,24.0,2016,2021,6,False,True,False,Inexperienced Economist,Inexperienced Economist
1839,VJ Kingma,2024-2024,4,3,6.0,26.0,2024,2024,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1840,AR Kumar,2010-2011,5,3,5.5,4.0,2010,2011,2,False,True,False,Inexperienced Economist,Inexperienced Economist
1841,S Lakshan,2021-2022,4,3,9.58,24.0,2021,2022,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1842,Lalhmangaiha,2019-2022,21,3,9.38,28.3,2019,2022,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1843,C Lamont,2018-2019,4,3,9.21,28.0,2018,2019,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1844,C le Roux,2024-2024,5,3,8.68,31.3,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1845,ER Links,2012-2012,4,3,8.16,24.0,2012,2012,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1846,JS Louis,2016-2024,7,3,10.18,32.0,2016,2024,9,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1847,ALR Lubana,2021-2024,8,3,8.92,26.0,2021,2024,4,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1848,CA Lynn,2011-2025,227,3,7.25,24.0,2011,2025,15,False,True,True,Experienced Economist,Experienced Economist
1849,DL Maddy,2007-2007,4,3,8.66,6.0,2007,2007,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1850,MK Mahale,2023-2024,7,3,10.27,22.0,2023,2024,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1851,JT Makla,2009-2010,4,3,7.52,22.3,2009,2010,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1852,Manish Sharma,2019-2019,3,3,7.22,18.0,2019,2019,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1853,Manoj Singh,2007-2007,3,3,4.8,20.0,2007,2007,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1854,MJ Mason,2010-2010,4,3,6.68,32.0,2010,2010,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1855,DK Mathias,2015-2015,4,3,7.18,22.0,2015,2015,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1856,H McKenzie,2023-2024,6,3,7.66,36.0,2023,2024,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1857,Mohamed Safeequddin,2024-2024,2,3,9.0,14.0,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1858,Mohammad Amir Khan,2020-2024,6,3,8.85,28.0,2020,2024,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1859,Muhammad Faizan,2020-2021,9,3,10.28,14.0,2020,2021,2,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1860,F Mohammed,2007-2007,4,3,8.93,32.0,2007,2007,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1861,TNR Mohith,2024-2024,3,3,7.27,11.0,2024,2024,1,False,True,False,Inexperienced Economist,Inexperienced Economist
1862,Nabam Abo,2024-2024,7,3,8.8,30.0,2024,2024,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1863,R Ninan,2011-2011,2,3,10.83,12.0,2011,2011,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1864,P Nirala,2019-2019,6,3,7.83,24.0,2019,2019,1,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1865,K Nitish Kumar Reddy,2021-2025,24,3,11.65,40.3,2021,2025,5,False,False,False,Inexperienced Balanced Bowler,Inexperienced Balanced Bowler
1866,Nizakat Khan,2014-2016,6,3,7.0,12.0,2014,2016,3,False,True,False,Inexperienced Economist,Inexperienced Economist
1867,K Noema-Barnett,2010-2010,4,3,7.41,24.0,2010,2010,1,False,True,False,Inexperienced Economist,Inexperienced Economist
