,player,span,mat,runs,avg,sr,fours,sixes,start_year,end_year,career_length
35,MP Stoinis,2012-2025,241,5419,30.96,136.73,457,231,2012,2025,14
36,SE Marsh,2008-2024,153,5371,40.08,130.04,532,168,2008,2024,17
37,Tamim Iqbal,2007-2025,173,5270,34.9,120.92,559,158,2007,2025,19
38,J Charles,2012-2024,197,5238,28.78,132.97,495,254,2012,2024,13
39,Shakib Al Hasan,2007-2024,308,5170,22.38,127.52,464,162,2007,2024,18
40,RR Rossouw,2009-2025,214,5113,29.38,144.23,473,231,2009,2025,17
41,Babar Azam,2016-2024,136,4953,41.97,123.76,525,79,2016,2024,9
42,MA Agarwal,2010-2024,211,4917,25.6,134.08,497,174,2010,2024,15
43,DJ Bravo,2007-2024,433,4904,22.19,129.22,335,236,2007,2024,18
44,SS Iyer,2014-2024,172,4870,33.58,133.09,415,203,2014,2024,11
45,E Lewis,2012-2024,189,4844,28.49,140.73,407,324,2012,2024,13
46,KC Sangakkara,2007-2018,195,4818,27.53,121.05,510,93,2007,2018,12
47,YK Pathan,2007-2019,262,4738,28.03,139.27,372,233,2007,2019,13
48,SPD Smith,2009-2025,192,4674,35.14,131.03,394,141,2009,2025,17
49,WP Saha,2007-2024,253,4652,24.48,128.04,458,143,2007,2024,18
50,N Rana,2013-2024,191,4616,28.67,135.52,405,238,2013,2024,12
51,MC Henriques,2009-2025,220,4389,28.68,129.43,334,135,2009,2025,17
52,BJ Hodge,2007-2018,181,4362,36.35,130.13,381,163,2007,2018,12
53,RD Gaikwad,2017-2024,121,4238,40.36,140.09,400,164,2017,2024,8
54,PA Patel,2007-2019,198,4206,22.98,123.99,544,77,2007,2019,13
55,M Vijay,2007-2020,164,4111,26.35,121.98,384,143,2007,2020,14
56,Ishan Kishan,2014-2024,160,4108,28.92,135.08,406,188,2014,2024,11
57,RR Pant,2016-2024,143,4101,34.46,149.23,374,196,2016,2024,9
58,Mushfiqur Rahim,2007-2025,181,4096,33.03,129.04,351,121,2007,2025,19
59,Yuvraj Singh,2007-2019,198,4067,24.5,126.03,316,215,2007,2019,13
60,JH Kallis,2008-2016,160,3983,30.4,112.19,395,89,2008,2016,9
61,JJ Roy,2012-2025,155,3974,27.4,137.17,448,145,2012,2025,14
62,Mandeep Singh,2010-2024,211,3956,27.66,129.07,394,103,2010,2024,15
63,MEK Hussey,2007-2016,137,3938,37.5,125.01,367,105,2007,2016,10
64,HH Pandya,2013-2024,197,3896,30.92,141.77,286,210,2013,2024,12
65,Shubman Gill,2018-2024,124,3893,37.79,136.35,378,121,2018,2024,7
66,V Sehwag,2007-2016,143,3768,27.91,147.36,448,135,2007,2016,10
67,KP Pietersen,2007-2018,127,3700,34.57,136.98,322,141,2007,2018,12
68,Mohammad Rizwan,2016-2024,122,3648,41.45,122.74,319,96,2016,2024,9
69,KS Williamson,2012-2025,137,3633,33.95,121.26,317,97,2012,2025,14
70,JP Duminy,2007-2019,149,3589,39.43,123.03,235,137,2007,2019,13
